=== Building examples from hf_conflict_outputs ===
Wrote 72 examples → hf_conflict_outputs/inference_examples.jsonl

=== Suite: all enabled models in models.json ===
Output: runs/hf_inference_20260528T223308Z
Loaded 72 examples
Running model: google/gemini-3.5-flash
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_00 variant=control question_id=hf_main
[parse_error] model=google/gemini-3.5-flash video_id=moving_attribute_00 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_01 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_01 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_02 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_02 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_03 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_03 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_04 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_04 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_05 variant=control question_id=hf_main
[parse_error] model=google/gemini-3.5-flash video_id=moving_attribute_05 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_06 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_06 variant=conflict question_id=hf_main
[parse_error] model=google/gemini-3.5-flash video_id=moving_attribute_07 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_07 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_08 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_08 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_09 variant=control question_id=hf_main
[parse_error] model=google/gemini-3.5-flash video_id=moving_attribute_09 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_10 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_10 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_11 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_11 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_12 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_12 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_13 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_13 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_14 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_attribute_14 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_00 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_00 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_01 variant=control question_id=hf_main
[parse_error] model=google/gemini-3.5-flash video_id=moving_count_01 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_02 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_02 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_03 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_03 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_04 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_04 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_05 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_05 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_06 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_06 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_07 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_07 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_08 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_08 variant=conflict question_id=hf_main
[parse_error] model=google/gemini-3.5-flash video_id=moving_count_09 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_09 variant=conflict question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_10 variant=control question_id=hf_main
[ok] model=google/gemini-3.5-flash video_id=moving_count_10 variant=conflict question_id=hf_main
